team_name,team_id,season,conference,conference_id,jersey,player,yr,pos,g,gs,fouls,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,ppg,shg,ground_balls,turnovers,ct,f_os_won,f_os_taken,fo_pct,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,t,freepos_shots,freepos_goals,rc,yc,draw_controls,clears,clr_att
Adelphi Panthers,3,2022,NE10,899,27,"McGrath, Kelly-Ann",So,M,21,0,6,14,3,17,28,0.5,20,0.714,NA,NA,NA,13,17,8,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,3,2,NA,3,34,NA,NA
Adelphi Panthers,3,2022,NE10,899,9,"Lawson, Tamia",So,M,21,0,2,7,4,11,18,0.389,15,0.833,NA,1,NA,9,12,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,4,NA,NA,1,11,NA,NA
Adelphi Panthers,3,2022,NE10,899,6,"Kallansrude, Kristina",Jr,M,21,21,13,19,4,23,47,0.404,33,0.702,1,4,1,28,17,23,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,13,5,NA,1,54,NA,NA
Adelphi Panthers,3,2022,NE10,899,18,"Heuser, Kerrin",Jr,M,21,20,4,39,5,44,85,0.459,71,0.835,4,3,NA,27,21,10,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,9,4,NA,2,35,NA,NA
Adelphi Panthers,3,2022,NE10,899,24,"Flavin, Kasey",Sr,D,21,21,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,43,4,28,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
Adelphi Panthers,3,2022,NE10,899,29,"McCabe, Christina",Sr,ATT,21,21,6,49,31,80,112,0.438,73,0.652,3,4,2,17,31,7,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,15,7,NA,1,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,21,"Beebe, Alexandra",Sr,D,21,21,18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,6,38,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,20,"Schweitzer, Kristina",Sr,ATT,21,18,1,17,11,28,31,0.548,22,0.71,1,1,NA,13,23,3,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,14,"Kolodinsky, Lillian",Sr,D,21,21,14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,11,29,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,4,"Bifulco, Gianna",Sr,M,21,21,6,23,5,28,58,0.397,41,0.707,NA,1,NA,23,20,10,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,13,6,NA,2,4,NA,NA
Adelphi Panthers,3,2022,NE10,899,5,"Beier, Emily",Sr,ATT,21,21,6,36,34,70,80,0.45,59,0.738,4,NA,NA,22,38,12,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,17,8,NA,2,3,NA,NA
Adelphi Panthers,3,2022,NE10,899,17,"Lemanski, Emma",Sr,GK,21,21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,4,1,NA,0,NA,21,21,1169:55,124,6.359,106,0.461,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,20,"Grant, Izzy",Sr,M,21,20,5,43,7,50,84,0.512,64,0.762,2,1,NA,21,20,13,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,16,9,NA,2,85,NA,NA
Adelphi Panthers,3,2022,NE10,899,3,"Broderick, Kailey",Sr,DM,20,20,12,NA,NA,0,1,NA,1,1,NA,NA,NA,50,9,33,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,10,"Rafferty, Fiona",Jr,M,20,0,2,5,NA,5,15,0.333,8,0.533,1,NA,NA,8,7,5,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA
Adelphi Panthers,3,2022,NE10,899,2,"Mecca, Jamie",Jr,M,18,0,NA,12,8,20,29,0.414,21,0.724,1,2,NA,8,10,1,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,22,"Dugan, Casey",Sr,D,14,2,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
Adelphi Panthers,3,2022,NE10,899,1,"Zapparrata, Giovanna",Fr,ATT,9,0,NA,3,4,7,8,0.375,7,0.875,NA,NA,NA,1,4,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,25,"Pickel, Meghan",Jr,M,9,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,32,"Turner, Alison",So,ATT,8,0,1,1,1,2,5,0.2,4,0.8,NA,NA,NA,1,5,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,13,"Pugh, Samantha",Fr,D,8,0,1,NA,NA,0,2,NA,2,1,NA,NA,NA,5,1,2,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,42,"Keener, Megan",Sr,ATT,8,1,NA,9,3,12,14,0.643,12,0.857,1,NA,NA,8,5,3,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,16,"Marchetta, Madison",Fr,GK,7,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,NA,95:58,10,6.252,7,0.412,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,11,"Giordano, Nicolette",Fr,M,6,0,NA,NA,NA,0,6,NA,3,0.5,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA
Adelphi Panthers,3,2022,NE10,899,15,"Miller, Lily",Jr,D,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,23,"Becker, Danielle",Fr,D,5,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,12,"Birney, Kristen",Fr,ATT,5,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,10,"Marino, Danielle",Jr,M,4,3,NA,4,4,8,9,0.444,8,0.889,NA,NA,NA,5,3,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,26,"Pappas, Madison",So,M,4,0,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,25,"Lamonica, Kaylee",Jr,ATT,4,0,NA,1,NA,1,2,0.5,2,1,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,30,"Iavaroni, Jenna",So,D,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,6,"Kallansrude, Kristina",So,M,13,13,10,13,4,17,28,0.464,21,0.75,1,1,NA,17,8,10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,5,2,NA,1,22,NA,NA
Adelphi Panthers,3,2021,NE10,899,8,"Pollock, Kole",Sr,ATT,13,13,7,34,10,44,68,0.5,51,0.75,2,1,1,12,22,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,14,8,NA,1,4,NA,NA
Adelphi Panthers,3,2021,NE10,899,1,"Flavin, Kerry Ann",Sr,D,13,13,11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,4,19,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA
Adelphi Panthers,3,2021,NE10,899,4,"Bifulco, Gianna",Jr,M,12,12,7,15,2,17,45,0.333,30,0.667,1,NA,NA,10,13,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,3,2,NA,1,4,NA,NA
Adelphi Panthers,3,2021,NE10,899,21,"Beebe, Alexandra",Jr,D,12,12,27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,17,4,17,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Adelphi Panthers,3,2021,NE10,899,14,"Kolodinsky, Lillian",Jr,D,12,12,15,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,16,4,16,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,17,"Lemanski, Emma",Sr,GK,12,12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,28,7,1,NA,NA,NA,12,12,649:04,88,8.135,65,0.425,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,7,"Ferrara, Christina",Sr,ATT,11,11,3,19,13,32,36,0.528,27,0.75,2,4,NA,17,17,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,16,"Johnson, Alison",Sr,ATT,11,11,1,5,27,32,18,0.278,13,0.722,NA,1,NA,7,23,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,9,"Lawson, Tamia",Fr,M,11,,2,6,4,10,15,0.4,12,0.8,1,NA,NA,5,4,8,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,5,1,NA,2,12,NA,NA
Adelphi Panthers,3,2021,NE10,899,10,"Rafferty, Fiona",So,M,11,,1,3,2,5,12,0.25,6,0.5,NA,1,NA,10,9,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,18,"Heuser, Kerrin",So,M,11,,2,14,2,16,26,0.538,20,0.769,NA,NA,NA,10,6,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,8,4,NA,NA,8,NA,NA
Adelphi Panthers,3,2021,NE10,899,29,"McCabe, Christina",Jr,ATT,11,10,1,32,14,46,71,0.451,52,0.732,1,2,2,5,20,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,7,2,NA,1,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,12,"Gillespie, Alyssa",Sr,M,11,11,3,10,12,22,13,0.769,12,0.923,1,NA,NA,12,6,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,NA
Adelphi Panthers,3,2021,NE10,899,3,"Broderick, Kailey",Sr,DM,10,10,15,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,4,12,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,27,"McGrath, Kelly-Ann",Fr,M,10,,3,4,NA,4,7,0.571,6,0.857,NA,NA,1,4,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,3,2,NA,NA,10,NA,NA
Adelphi Panthers,3,2021,NE10,899,24,"Flavin, Kasey",Jr,D,9,3,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7,3,7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
Adelphi Panthers,3,2021,NE10,899,19,"Fetherston, Molly",Sr,ATT,8,1,1,6,2,8,12,0.5,8,0.667,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,20,"Schweitzer, Kristina",Jr,ATT,8,3,NA,6,4,10,13,0.462,10,0.769,NA,NA,NA,6,7,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,13,"Reh, Riley",Jr,M,7,1,NA,1,1,2,2,0.5,1,0.5,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,1,NA,1,3,NA,NA
Adelphi Panthers,3,2021,NE10,899,2,"Mecca, Jamie",So,M,6,2,NA,2,NA,2,8,0.25,7,0.875,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,4,2,NA,NA,4,NA,NA
Adelphi Panthers,3,2021,NE10,899,15,"Miller, Lily",So,D,6,1,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,22,"Dugan, Casey",Sr,D,6,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
Adelphi Panthers,3,2021,NE10,899,25,"Lamonica, Kaylee",So,ATT,5,,NA,5,NA,5,7,0.714,5,0.714,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,35,"Perry, Emily",Sr,GK,5,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,132:25,13,5.89,10,0.435,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,42,"Keener, Megan",Sr,ATT,4,,NA,3,1,4,3,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,32,"Turner, Alison",Fr,ATT,4,2,1,1,1,2,6,0.167,6,1,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2021,NE10,899,30,"Iavaroni, Jenna",Fr,D,3,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2021,NE10,899,28,"Trowbridge, Jamie",So,ATT,3,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,8,"Pollock, Kole",Sr,,4,4,2,10,2,12,25,0.4,13,0.52,3,NA,NA,5,7,2,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,6,1,NA,1,4,NA,NA
Adelphi Panthers,3,2020,NE10,899,13,"Reh, Riley",So,,4,4,NA,1,1,2,5,0.2,3,0.6,NA,NA,NA,4,6,2,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA
Adelphi Panthers,3,2020,NE10,899,7,"Ferrara, Christina",Jr,,4,4,NA,3,3,6,10,0.3,6,0.6,NA,NA,NA,7,7,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA
Adelphi Panthers,3,2020,NE10,899,17,"Lemanski, Emma",Jr,,4,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,4,4,241:22,32,7.955,27,0.458,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,23,"Riportella, Lena",Sr,,4,4,1,7,1,8,22,0.318,13,0.591,NA,2,NA,4,1,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2020,NE10,899,16,"Johnson, Alison",Sr,,4,4,NA,3,8,11,5,0.6,4,0.8,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,12,"Gillespie, Alyssa",Sr,,4,4,1,3,NA,3,11,0.273,8,0.727,NA,NA,NA,6,2,5,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,1,"Flavin, Kerry Ann",Sr,,4,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,2,9,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
Adelphi Panthers,3,2020,NE10,899,22,"Delli Pizzi, Maggie",Sr,,4,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6,3,3,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,6,"Kallansrude, Kristina",Fr,M,4,,NA,2,NA,2,3,0.667,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
Adelphi Panthers,3,2020,NE10,899,29,"McCabe, Christina",So,,4,,1,9,3,12,19,0.474,15,0.789,NA,NA,NA,4,9,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,21,"Beebe, Alexandra",So,,4,4,12,NA,NA,0,1,NA,NA,NA,NA,NA,NA,11,NA,10,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,4,"Bifulco, Gianna",So,,4,4,3,4,1,5,15,0.267,9,0.6,NA,NA,NA,5,6,3,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,24,"Flavin, Kasey",So,,3,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,19,"Fetherston, Molly",Jr,,3,,NA,NA,NA,0,2,NA,1,0.5,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,3,"Broderick, Kailey",Jr,,3,3,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,3,6,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,9,"Lewis, Paige",Sr,,3,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,10,"Rafferty, Fiona",Fr,M,3,,1,1,1,2,4,0.25,3,0.75,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,20,"Schweitzer, Kristina",So,,3,,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,5,"Testa, Maeve",Jr,,2,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2020,NE10,899,25,"Lamonica, Kaylee",Fr,ATT,1,,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,14,"Kolodinsky, Lillian",So,,1,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,8,"Pollock, Kole",Sr,,4,4,2,10,2,12,25,0.4,13,0.52,3,NA,NA,5,7,2,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,6,1,NA,1,4,NA,NA
Adelphi Panthers,3,2020,NE10,899,13,"Reh, Riley",So,,4,4,NA,1,1,2,5,0.2,3,0.6,NA,NA,NA,4,6,2,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA
Adelphi Panthers,3,2020,NE10,899,7,"Ferrara, Christina",Jr,,4,4,NA,3,3,6,10,0.3,6,0.6,NA,NA,NA,7,7,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA
Adelphi Panthers,3,2020,NE10,899,17,"Lemanski, Emma",Jr,,4,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,4,4,241:22,32,7.955,27,0.458,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,23,"Riportella, Lena",Sr,,4,4,1,7,1,8,22,0.318,13,0.591,NA,2,NA,4,1,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2020,NE10,899,16,"Johnson, Alison",Sr,,4,4,NA,3,8,11,5,0.6,4,0.8,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,12,"Gillespie, Alyssa",Sr,,4,4,1,3,NA,3,11,0.273,8,0.727,NA,NA,NA,6,2,5,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,1,"Flavin, Kerry Ann",Sr,,4,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,2,9,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
Adelphi Panthers,3,2020,NE10,899,22,"Delli Pizzi, Maggie",Sr,,4,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6,3,3,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,6,"Kallansrude, Kristina",Fr,M,4,,NA,2,NA,2,3,0.667,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
Adelphi Panthers,3,2020,NE10,899,29,"McCabe, Christina",So,,4,,1,9,3,12,19,0.474,15,0.789,NA,NA,NA,4,9,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,21,"Beebe, Alexandra",So,,4,4,12,NA,NA,0,1,NA,NA,NA,NA,NA,NA,11,NA,10,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,4,"Bifulco, Gianna",So,,4,4,3,4,1,5,15,0.267,9,0.6,NA,NA,NA,5,6,3,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,24,"Flavin, Kasey",So,,3,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,19,"Fetherston, Molly",Jr,,3,,NA,NA,NA,0,2,NA,1,0.5,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,3,"Broderick, Kailey",Jr,,3,3,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,3,6,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,9,"Lewis, Paige",Sr,,3,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,10,"Rafferty, Fiona",Fr,M,3,,1,1,1,2,4,0.25,3,0.75,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,20,"Schweitzer, Kristina",So,,3,,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,5,"Testa, Maeve",Jr,,2,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Adelphi Panthers,3,2020,NE10,899,25,"Lamonica, Kaylee",Fr,ATT,1,,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2020,NE10,899,14,"Kolodinsky, Lillian",So,,1,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2018,NE10,899,23,"Riportella, Lena",Jr,,22,21,5,58,8,66,92,0.63,70,0.761,5,3,NA,14,NA,4,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
Adelphi Panthers,3,2018,NE10,899,7,"Ferrara, Christina",Fr,,22,20,6,22,24,46,38,0.579,32,0.842,NA,NA,1,30,NA,6,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
