team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Dean Bulldogs,30219,2018,NECC,888,4,"Botelho, Liseta",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,12,"Cabral, Rocky",,N/A,10,10
Dean Bulldogs,30219,2018,NECC,888,15,"Casanova, Destiny",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,12,"Cassanelli, Alex",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,15,"Cleveland, Jamaya",D,N/A,15,15
Dean Bulldogs,30219,2018,NECC,888,21,"DeSisto, Nicole",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,16,"Dickson, Kim",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,9,"Dorfman, Jennifer",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,0,"Felto, Madison-Bailey",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,2,"Fisher, Makayla",,Fr,15,15
Dean Bulldogs,30219,2018,NECC,888,11,"Gomes, Sydnie",,Fr,14,14
Dean Bulldogs,30219,2018,NECC,888,5,"Hebert, Madison",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,20,"Holley, Na'Neq",G,N/A,2,2
Dean Bulldogs,30219,2018,NECC,888,17,"Jobst, Kirsten",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,1,"Johnson, Genesis",M,N/A,15,15
Dean Bulldogs,30219,2018,NECC,888,13,"LeBeau, Madeline",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,16,"McMahon, Lexie",A,N/A,10,10
Dean Bulldogs,30219,2018,NECC,888,3,"Nherisson, Fran",M,N/A,6,6
Dean Bulldogs,30219,2018,NECC,888,18,"Salvadore, Hannah",A,N/A,12,12
Dean Bulldogs,30219,2018,NECC,888,7,"Saunders, Briana",,Fr,15,14
Dean Bulldogs,30219,2018,NECC,888,6,"Springer, Shania",,N/A,8,7
Dean Bulldogs,30219,2018,NECC,888,1,"Thompson-, Bernadette",,Fr,0,0
Dean Bulldogs,30219,2018,NECC,888,14,"Wilks, Lauryn",A,N/A,14,14
Dean Bulldogs,30219,2018,NECC,888,17,"Williams, Kheya",,N/A,2,2
Dean Bulldogs,30219,2018,NECC,888,4,"Winborne, Chelsea",D,N/A,13,13
Dean Bulldogs,30219,2017,NA,NA,4,"Botelho, Liseta",,N/A,11,11
Dean Bulldogs,30219,2017,NA,NA,15,"Casanova, Destiny",,N/A,8,8
