team_name,team_id,season,conference,conference_id,jersey,player,yr,pos,g,gs,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,fo_taken
Adams St. Grizzlies,929,2022,RMAC,13128,22,"Austin, Jacob",Sr,M,9,7,9,3,12,64,0.141,34,0.531,NA,NA,NA,12,19,8,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,32,"Brunson, Quinten",Fr,D,9,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,2,5,NA,2,NA,4,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,1,"Boonshaft, Josh",Fr,ATT,9,2,NA,1,1,12,NA,6,0.5,NA,NA,NA,7,13,2,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,37,"Morrissey, Brennan",So,D,9,2,1,NA,1,4,0.25,2,0.5,NA,NA,NA,12,10,3,NA,0,NA,6,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,15,"Balabanoff, Dawson",So,M,9,4,8,4,12,42,0.19,21,0.5,NA,1,NA,3,21,2,1,1,1,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,8,"Coking, Kyle",So,M,9,5,7,NA,7,52,0.135,23,0.442,1,NA,NA,6,25,6,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,4,"Larm, Declan",So,DM,9,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,23,13,11,NA,0,NA,2,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,24,"Meyers, Luke",Jr,FO,9,8,NA,NA,0,1,NA,NA,NA,NA,NA,NA,39,5,2,103,228,0.452,2,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,20,"Fuss, Matt",Jr,D,9,8,NA,NA,0,1,NA,1,1,NA,NA,NA,15,12,5,NA,0,NA,7,450,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,7,"Grass, Brennan",Sr,D,9,7,1,NA,1,4,0.25,3,0.75,NA,NA,NA,20,8,10,NA,0,NA,8,480,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,4,"McFarlane, Ian",Sr,M,9,9,NA,NA,0,1,NA,NA,NA,NA,NA,NA,3,7,NA,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,9,"Williams, Brendan",Sr,GK,9,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,15,5,3,NA,0,NA,NA,,9,8,422:07,130,18.478,102,0.44,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,18,"Anderson, Mason",Fr,ATT,8,4,2,NA,2,13,0.154,3,0.231,NA,NA,NA,3,8,2,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,17,"Owens, Kris",Fr,DM,8,0,1,NA,1,1,1,1,1,NA,NA,NA,2,5,1,NA,0,NA,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,28,"Anderson, Connor",Fr,M,8,0,NA,1,1,7,NA,1,0.143,NA,NA,NA,2,4,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,29,"Johnson, Ron",So,M,7,5,7,2,9,30,0.233,15,0.5,NA,NA,1,5,10,2,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,34,"Jardine, Grant",Fr,M,7,1,1,NA,1,2,0.5,1,0.5,NA,NA,NA,11,4,1,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,39,"Roush, Chase",So,M,7,3,2,1,3,8,0.25,3,0.375,NA,NA,NA,1,7,NA,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,10,"Thomas, Griffin",Fr,M,7,0,1,NA,1,4,0.25,3,0.75,NA,NA,NA,NA,4,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,19,"Northup, Brandon",Fr,M,6,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,6,2,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,6,"Carberry, Brett",So,m,6,5,3,3,6,7,0.429,5,0.714,NA,2,NA,4,5,1,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,48,"Navarro, Michael",Sr,GK,5,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7,2,2,NA,0,NA,1,30,5,1,117:37,33,16.834,14,0.298,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,40,"Hubbard, Tyler",So,ATT,5,1,NA,NA,0,2,NA,2,1,NA,NA,NA,1,3,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,5,"Kelley, Justin",Sr,D,5,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,43,"Leonard, Andrew",So,DM,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,45,"Martinez, Dominic",Fr,M,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.4,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,13,"Butler, Kyle",Sr,ATT,3,1,NA,NA,0,6,NA,1,0.167,NA,NA,NA,3,2,2,NA,0,NA,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,31,"Nudson, Dylan",Fr,ATT,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,3,"Lodge, Mayson",Fr,M,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,44,"Klayman, Bryce",Fr,,2,0,1,NA,1,3,0.333,1,0.333,NA,NA,NA,1,1,NA,NA,1,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,25,"Ferringer, Cody",Fr,,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,16,"Meyer, Colton",Fr,DM,1,0,NA,NA,0,2,NA,1,0.5,NA,NA,NA,2,1,1,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,26,"Sondrall, Ben",Fr,D,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,12,"Rudebusch, Tyler",Fr,D,1,0,NA,NA,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,23,"Peterson, Justin",So,FO,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,30,"Wagner, William",Fr,ATT,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,6,"Carberry, Brett",Fr,m,8,6,6,2,8,13,0.462,6,0.462,NA,NA,NA,7,15,3,NA,0,NA,1,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,23,"Peterson, Justin",Fr,FO,8,2,NA,NA,0,1,NA,NA,NA,NA,NA,NA,14,2,1,34,114,0.298,1,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,15,"Balabanoff, Dawson",Fr,M,8,6,6,6,12,25,0.24,11,0.44,NA,NA,NA,7,9,1,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,8,"Coking, Kyle",Fr,M,8,4,3,2,5,16,0.188,8,0.5,NA,NA,NA,14,18,1,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,24,"Meyers, Luke",So,FO,8,,NA,NA,0,2,NA,NA,NA,NA,NA,NA,5,2,NA,11,70,0.157,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,20,"Fuss, Matt",So,D,8,8,NA,NA,0,1,NA,NA,NA,NA,NA,NA,17,6,10,NA,0,NA,2,240,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,34,"Rodine, Chase",Jr,ATT,8,8,3,3,6,14,0.214,7,0.5,NA,1,NA,14,20,4,NA,0,NA,8,420,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,13,"Butler, Kyle",Jr,ATT,8,7,12,3,15,58,0.207,28,0.483,NA,3,NA,11,14,3,1,1,1,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,4,"McFarlane, Ian",Jr,M,8,4,NA,1,1,2,NA,NA,NA,NA,NA,NA,9,5,2,NA,0,NA,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,9,"Williams, Brendan",Sr,GK,8,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,11,2,NA,0,NA,NA,,7,6,342:59,98,17.144,106,0.52,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,11,"Van Arsdall, JD",Sr,M,7,1,1,NA,1,4,0.25,1,0.25,NA,NA,NA,10,7,2,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,7,"Grass, Brennan",Jr,D,7,7,1,NA,1,1,1,1,1,NA,NA,NA,23,13,7,4,16,0.25,7,330,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,4,"Larm, Declan",Fr,DM,7,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,6,8,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,37,"Morrissey, Brennan",Fr,D,7,1,NA,1,1,3,NA,1,0.333,NA,NA,NA,10,6,3,NA,0,NA,2,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,40,"Hubbard, Tyler",Fr,ATT,7,4,3,1,4,13,0.231,9,0.692,NA,1,NA,4,5,NA,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,22,"Austin, Jacob",Sr,M,6,6,7,2,9,37,0.189,21,0.568,NA,2,NA,8,14,2,NA,1,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,43,"Leonard, Andrew",Fr,DM,6,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,5,"Kelley, Justin",Jr,D,4,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,28,"Butler, Levi",Fr,D,4,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,2,"Dekalaita, Nicholas",Fr,M,4,,NA,NA,0,2,NA,1,0.5,NA,NA,NA,3,1,NA,NA,0,NA,NA,,1,NA,52:44,19,21.618,12,0.387,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,50,"Whitworth, Zach",Fr,D,4,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,25,"Ferringer, Cody",N/A,,4,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,0,NA,1,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,19,"Welch, Kyler",Jr,GK,3,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,,2,NA,45:00,14,18.667,11,0.44,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,48,"Navarro, Michael",Jr,GK,3,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,NA,,3,NA,39:15,4,6.115,6,0.6,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,39,"Roush, Chase",Fr,M,2,,1,NA,1,2,0.5,1,0.5,NA,1,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,27,"Cooper, Bruce",Fr,M,2,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,30,"Macy, Christian",Jr,M,2,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,49,"Hibler, Anthony",So,D,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2021,RMAC,13128,10,"Chitwood, Kevin",Sr,D,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,9,"Williams, Brendan",Jr,GK,4,4,NA,NA,0,1,NA,NA,NA,NA,NA,NA,11,2,1,NA,0,NA,NA,,4,3,222:38,69,18.596,49,0.415,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,4,"McFarlane, Ian",So,M,4,,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,2,1,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,13,"Butler, Kyle",So,ATT,4,1,3,2,5,16,0.188,8,0.5,NA,NA,NA,3,6,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,34,"Rodine, Chase",So,ATT,4,,3,NA,3,5,0.6,4,0.8,NA,NA,NA,2,1,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,50,"Selfridge, Nick",Sr,M,4,1,1,1,2,2,0.5,2,1,NA,NA,NA,NA,1,NA,NA,0,NA,2,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,2,"Simon, Donnie",Sr,M,4,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,2,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,22,"Austin, Jacob",Jr,M,4,3,7,2,9,24,0.292,13,0.542,NA,2,NA,6,2,1,NA,3,NA,4,180,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,11,"Van Arsdall, JD",Jr,M,4,3,1,NA,1,5,0.2,1,0.2,NA,NA,NA,3,2,NA,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,29,"Osterhout, Collin",Sr,D,4,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,2,1,4,NA,0,NA,3,180,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,3,"Trudgian, Terry",Sr,M,4,4,3,1,4,4,0.75,3,0.75,NA,NA,NA,7,5,6,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,24,"Meyers, Luke",Fr,,4,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,1,NA,8,21,0.381,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,25,"Kuykendall, Connor",Fr,def,4,4,1,NA,1,3,0.333,3,1,NA,NA,NA,14,2,1,29,88,0.33,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,8,"Kelly, Alexander",Fr,att,4,4,1,3,4,16,0.062,8,0.5,NA,NA,NA,5,5,2,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,20,"Fuss, Matt",Fr,def,4,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6,3,5,NA,0,NA,2,90,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,33,"Crouse, Tim",Fr,,4,2,5,3,8,22,0.227,11,0.5,NA,NA,NA,5,6,NA,NA,0,NA,2,90,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,7,"Grass, Brennan",So,,4,3,NA,NA,0,1,NA,1,1,NA,NA,NA,3,2,2,NA,0,NA,2,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,12,"Rosas, Johnny",Sr,ATT,3,3,4,NA,4,20,0.2,14,0.7,NA,NA,NA,NA,10,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,5,"Kelley, Justin",So,D,3,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,60,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,30,"Macy, Christian",So,M,3,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,1,30,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,10,"Chitwood, Kevin",Jr,D,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,48,"Navarro, Michael",So,GK,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,,1,NA,17:18,4,13.873,3,0.429,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,28,"Nachtscheim, Jayden",Fr,M,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,16,"Kats, Blake",Fr,M,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,32,"Yomona, Jordi",So,M,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2020,RMAC,13128,15,"Wing, Jasiah",Fr,DM,1,,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,18,"Pepelyaev, Roman",Fr,M,13,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,42,5,3,81,207,0.391,3,150,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,13,"Butler, Kyle",Fr,ATT,13,2,9,3,12,34,0.265,17,0.5,NA,1,NA,12,15,3,NA,NA,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,1,"Young, Ryan",So,M,13,1,2,1,3,13,0.154,8,0.615,NA,NA,NA,13,3,3,NA,NA,NA,NA,,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,15,"Morrison, Riley",Fr,M,13,10,21,4,25,44,0.477,30,0.682,1,2,NA,9,17,2,NA,NA,NA,2,90,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,12,"Rosas, Johnny",Jr,ATT,13,7,14,6,20,44,0.318,21,0.477,NA,4,NA,7,23,2,NA,NA,NA,2,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,10,"Chitwood, Kevin",So,D,13,12,NA,1,1,8,NA,3,0.375,NA,NA,NA,23,3,9,NA,NA,NA,4,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,2,"Simon, Donnie",Jr,M,13,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,11,8,5,NA,NA,NA,3,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,11,"Van Arsdall, JD",So,M,13,6,3,NA,3,21,0.143,8,0.381,1,NA,NA,18,13,4,NA,NA,NA,3,180,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,20,"Robison, Sawyer",Sr,D,13,12,NA,1,1,1,NA,1,1,NA,NA,NA,27,11,11,NA,NA,NA,8,390,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,7,"Kelly, Coltyn",Sr,M,13,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,7,9,NA,NA,NA,6,270,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,3,"Trudgian, Terry",Jr,M,13,13,NA,1,1,5,NA,3,0.6,NA,NA,NA,35,11,14,9,36,0.25,10,510,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,16,"Beck, Tanner",Sr,M,13,4,18,14,32,86,0.209,36,0.419,NA,2,NA,23,31,10,1,1,1,5,270,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2019,RMAC,13128,22,"Austin, Jacob",So,M,12,7,11,11,22,47,0.234,29,0.617,NA,1,NA,19,14,4,12,38,0.316,3,120,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
